x y z m s
0.98 0.94 17 16 26
0.98 0.94 17 16 26
0.98 0.94 17 16 26
0.98 0.94 17 16 26
0.98 0.93 17 16 26
0.98 0.93 17 16 26
0.98 0.93 17 16 26
0.98 0.93 17 16 26
0.98 0.93 17 16 26
0.98 0.93 17 16 26
0.98 0.93 17 16 26
0.98 0.93 16.99 16 26
0.98 0.93 16.99 16 26
0.98 0.93 16.99 16 26
0.98 0.93 16.99 16 26
0.98 0.93 16.99 16 26
0.98 0.93 16.99 16 27
0.98 0.93 16.99 16 27
0.98 0.93 16.99 16 27
0.98 0.92 16.99 16 27
0.98 0.92 16.99 16 27
0.98 0.92 16.99 16 27
0.99 0.92 16.99 16 27
0.99 0.92 16.99 16 27
0.99 0.92 16.99 16 27
0.99 0.92 16.99 16 27
0.99 0.92 16.99 16 27
0.99 0.91 16.99 16 27
0.99 0.91 16.99 16 27
0.99 0.91 16.99 16 27
0.99 0.91 16.99 16 27
0.99 0.91 16.99 16 27
0.99 0.91 16.99 16 27
0.99 0.91 16.99 16 27
0.99 0.91 16.99 16 27
0.99 0.91 16.99 16 27
0.99 0.91 16.98 16 28
0.99 0.91 16.98 16 28
0.99 0.91 16.98 16 28
0.99 0.9 16.98 16 28
0.99 0.9 16.98 16 28
